Time,Power (Watts),Flight Mode,Wind Speed (m/s),Wind Direction (NESW),Velocity m/s
1701880598.0409918,15.351722377013662,Hover,5.0,W,0.0
1701880601.4430504,244.12932613905366,Hover,5.0,W,0.4863443672657013
1701880605.548054,489.737684467779,Flight,5.0,W,1.7790522060759166
1701880609.1510518,87.6587938908747,Flight,5.0,W,4.4694158223247475
1701880613.1200502,110.493772749315,Flight,5.0,W,4.818917262650819
1701880622.8551254,138.998341534357,Flight,5.0,W,4.8512873617689545
1701880631.5196354,80.0322552222048,Flight,5.0,W,4.8595352626627415
1701880639.6429746,60.3280018217642,Flight,5.0,W,4.845508379606396
1701880649.5760489,94.3454222319706,Flight,5.0,W,0.18542168803841916
1701880651.9960504,97.8935165459341,Flight,5.0,W,0.06133465372595104
1701880654.4370487,105.642968947083,Flight,5.0,W,0.020745684447392877
1701880656.8510485,87.1222125495617,Flight,5.0,W,0.0068156823839480175
1701880659.2540746,87.3430792431657,Flight,5.0,W,0.0022922116774689023
1701880661.689731,85.4978654134540,Flight,5.0,W,0.000957494290652107
1701880664.0987556,85.5066683473536,Flight,5.0,W,0.0011955592287865428
1701880666.5052686,85.3072984150276,Flight,5.0,W,0.0012027730267791163
1701880668.9343202,85.3057233195660,Flight,5.0,W,0.0012029635748536634
1701880671.355905,85.2844152164289,Flight,5.0,W,0.0012028975120736347
1701880673.7644632,85.2836813721545,Flight,5.0,W,0.0012029575973196616
1701880676.1790593,85.2836830626988,Flight,5.0,W,0.0012027476696357692
1701880678.607182,85.2836830626918,Flight,5.0,W,0.0012026691658069521
1701880681.009759,85.2836796816082,Flight,5.0,W,0.0012030138434823124
1701880683.432323,85.2836830627053,Flight,5.0,W,0.001202958030813836
1701880685.8424325,85.2836238976663,Flight,5.0,W,0.0012028159179234307
